"0","Country","Country_code","Series","Series_code","Year","Number"
"1577","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","256.859953950521"
"1637","Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","157.258460703612"
"1657","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","138.245986024041"
"1697","Cambodia","KHM","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","102.304504612761"
"1717","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","960.031961510704"
"1797","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","186.768749480863"
"1817","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","172.600399313657"
"1837","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","925.287389444613"
"1857","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","183.512113491713"
"1877","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1970","192.125659761603"
"1937","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","178.341819608096"
"1957","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","161.169568173759"
"1977","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","233.03928829481"
"1997","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","4581.57438948162"
"2017","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","646.174948535129"
"2037","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","171.90507794133"
"2057","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","7787.74857269067"
"2077","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","1435.94216940491"
"2097","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","965.407054493517"
"2117","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","382.38303233642"
"2157","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","2965.64196322951"
"2177","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","4237.94949502727"
"2197","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","641.665056443296"
"2217","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","829.885768363449"
"2277","Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","188.085136094081"
"2297","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","272.970178520067"
"2357","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","2252.11188136859"
"2437","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","360.671334569647"
"2457","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","169.782096846944"
"2477","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","2489.7846193751"
"2497","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","280.920135262776"
"2517","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1975","351.54751685883"
"2577","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","194.805525689565"
"2597","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","271.923166867251"
"2617","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","491.437767816017"
"2637","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","9307.8392945921"
"2657","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","1778.48024024935"
"2677","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","265.350868425137"
"2697","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","12454.5951188154"
"2717","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","2495.65722620095"
"2737","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","2157.00695246817"
"2757","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","683.173283171857"
"2797","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","5710.33150210862"
"2817","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","8314.28761493902"
"2837","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","1152.42142155849"
"2857","Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","2052.63393215637"
"2917","Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","275.649818656436"
"2937","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","222.924264551112"
"2957","Bhutan","BTN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","328.807849422011"
"2997","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","5700.41263435822"
"3077","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","684.654411066422"
"3097","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","303.434030415786"
"3117","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","4926.95802257463"
"3137","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","272.911229373875"
"3157","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1980","682.773426728329"
"3217","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","294.457294258851"
"3237","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","302.511088671606"
"3257","Indonesia","IDN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","516.867788925803"
"3277","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","11465.7257816258"
"3297","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","2542.04197955182"
"3317","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","296.467026621622"
"3337","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","17855.7072356895"
"3357","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","2611.63923724366"
"3377","Middle East & North Africa","MEA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","1966.21455617581"
"3397","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","470.908986250466"
"3437","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","4584.78212623824"
"3457","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","6719.38867824176"
"3477","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1985","1393.19762446403"
