"","Year","Country","Production","Number"
"126","965","Thailand","EmployAgriculture","0"
"127","970","Thailand","EmployAgriculture","0"
"128","975","Thailand","EmployAgriculture","0"
"129","980","Thailand","EmployAgriculture","70.8000030517578"
"130","985","Thailand","EmployAgriculture","0"
"131","990","Thailand","EmployAgriculture","63.2999992370605"
"132","995","Thailand","EmployAgriculture","51.5999984741211"
"133","000","Vietnam","EmployAgriculture","65.3000030517578"
"134","005","Vietnam","EmployAgriculture","0"
"135","010","Vietnam","EmployAgriculture","0"
"136","015","Vietnam","EmployAgriculture","0"
"137","960","Vietnam","EmployAgriculture","0"
"138","965","Vietnam","EmployAgriculture","0"
"139","970","Vietnam","EmployAgriculture","0"
"140","975","Vietnam","EmployAgriculture","0"
"141","980","Vietnam","EmployAgriculture","0"
"142","985","Vietnam","EmployAgriculture","0"
"143","990","Vietnam","EmployAgriculture","0"
"144","995","Vietnam","EmployAgriculture","0"
"145","000","Cambodia","EmployIndustry","8.39999961853027"
"146","005","Cambodia","EmployIndustry","0"
"147","010","Cambodia","EmployIndustry","16.2000007629395"
"148","015","Cambodia","EmployIndustry","0"
"149","960","Cambodia","EmployIndustry","0"
"150","965","Cambodia","EmployIndustry","0"
"151","970","Cambodia","EmployIndustry","0"
"152","975","Cambodia","EmployIndustry","0"
"153","980","Cambodia","EmployIndustry","0"
"154","985","Cambodia","EmployIndustry","0"
"155","990","Cambodia","EmployIndustry","0"
"156","995","Cambodia","EmployIndustry","0"
"157","000","China","EmployIndustry","17.2999992370605"
"158","005","China","EmployIndustry","43.4000015258789"
"159","010","China","EmployIndustry","44.2999992370605"
"160","015","China","EmployIndustry","0"
"161","960","China","EmployIndustry","0"
"162","965","China","EmployIndustry","0"
"163","970","China","EmployIndustry","0"
"164","975","China","EmployIndustry","0"
"165","980","China","EmployIndustry","0"
"166","985","China","EmployIndustry","0"
"167","990","China","EmployIndustry","19"
"168","995","China","EmployIndustry","21"
"169","000","Hong Kong SAR, China","EmployIndustry","20.2999992370605"
"170","005","Hong Kong SAR, China","EmployIndustry","15.1000003814697"
"171","010","Hong Kong SAR, China","EmployIndustry","11.3999996185303"
"172","015","Hong Kong SAR, China","EmployIndustry","0"
"173","960","Hong Kong SAR, China","EmployIndustry","0"
"174","965","Hong Kong SAR, China","EmployIndustry","0"
"175","970","Hong Kong SAR, China","EmployIndustry","0"
"176","975","Hong Kong SAR, China","EmployIndustry","0"
"177","980","Hong Kong SAR, China","EmployIndustry","50.2000007629395"
"178","985","Hong Kong SAR, China","EmployIndustry","44.4000015258789"
"179","990","Hong Kong SAR, China","EmployIndustry","36.7000007629395"
"180","995","Hong Kong SAR, China","EmployIndustry","27"
"181","000","Indonesia","EmployIndustry","17.3999996185303"
